Node name,Device,Node Type (extra info),Input Shape (extra info),Output Shape (extra info)
Transpose_1506,FPGA,Add,[1 256 14 14];[1 256 1 1],[1 256 14 14]
Transpose_1508,FPGA,Relu,[1 256 14 14],[1 256 14 14]
Transpose_1514,FPGA,Add,[1 256 14 14];[1 256 1 1],[1 256 14 14]
Transpose_1516,FPGA,Relu,[1 256 14 14],[1 256 14 14]
Transpose_1522,FPGA,Add,[1 1024 14 14];[1 1024 1 1],[1 1024 14 14]
Transpose_1526,FPGA,Add,[1 1024 14 14];[1 1024 14 14],[1 1024 14 14]
Transpose_1528,FPGA,Relu,[1 1024 14 14],[1 1024 14 14]
Transpose_1534,FPGA,Add,[1 256 14 14];[1 256 1 1],[1 256 14 14]
Transpose_1536,FPGA,Relu,[1 256 14 14],[1 256 14 14]
Transpose_1542,FPGA,Add,[1 256 14 14];[1 256 1 1],[1 256 14 14]
Transpose_1544,FPGA,Relu,[1 256 14 14],[1 256 14 14]
Transpose_1550,FPGA,Add,[1 1024 14 14];[1 1024 1 1],[1 1024 14 14]
Transpose_1554,FPGA,Add,[1 1024 14 14];[1 1024 14 14],[1 1024 14 14]
Transpose_1556,FPGA,Relu,[1 1024 14 14],[1 1024 14 14]
Transpose_1562,FPGA,Add,[1 256 14 14];[1 256 1 1],[1 256 14 14]
Transpose_1564,FPGA,Relu,[1 256 14 14],[1 256 14 14]
Transpose_1570,FPGA,Add,[1 256 14 14];[1 256 1 1],[1 256 14 14]
Transpose_1572,FPGA,Relu,[1 256 14 14],[1 256 14 14]
Transpose_1578,FPGA,Add,[1 1024 14 14];[1 1024 1 1],[1 1024 14 14]
Transpose_1582,FPGA,Add,[1 1024 14 14];[1 1024 14 14],[1 1024 14 14]
Transpose_1584,FPGA,Relu,[1 1024 14 14],[1 1024 14 14]
Transpose_1590,FPGA,Add,[1 512 14 14];[1 512 1 1],[1 512 14 14]
Transpose_1592,FPGA,Relu,[1 512 14 14],[1 512 14 14]
Transpose_1613,FPGA,Add,[1 512 7 7];[1 512 1 1],[1 512 7 7]
Transpose_1615,FPGA,Relu,[1 512 7 7],[1 512 7 7]
Transpose_1621,FPGA,Add,[1 2048 7 7];[1 2048 1 1],[1 2048 7 7]
Transpose_1642,FPGA,Add,[1 2048 7 7];[1 2048 1 1],[1 2048 7 7]
Transpose_1646,FPGA,Add,[1 2048 7 7];[1 2048 7 7],[1 2048 7 7]
Transpose_1648,FPGA,Relu,[1 2048 7 7],[1 2048 7 7]
Transpose_1654,FPGA,Add,[1 512 7 7];[1 512 1 1],[1 512 7 7]
Transpose_1656,FPGA,Relu,[1 512 7 7],[1 512 7 7]
Transpose_1662,FPGA,Add,[1 512 7 7];[1 512 1 1],[1 512 7 7]
Transpose_1664,FPGA,Relu,[1 512 7 7],[1 512 7 7]
Transpose_1670,FPGA,Add,[1 2048 7 7];[1 2048 1 1],[1 2048 7 7]
Transpose_1674,FPGA,Add,[1 2048 7 7];[1 2048 7 7],[1 2048 7 7]
Transpose_1676,FPGA,Relu,[1 2048 7 7],[1 2048 7 7]
Transpose_1682,FPGA,Add,[1 512 7 7];[1 512 1 1],[1 512 7 7]
Transpose_1684,FPGA,Relu,[1 512 7 7],[1 512 7 7]
Transpose_1690,FPGA,Add,[1 512 7 7];[1 512 1 1],[1 512 7 7]
Transpose_1692,FPGA,Relu,[1 512 7 7],[1 512 7 7]
Transpose_1698,FPGA,Add,[1 2048 7 7];[1 2048 1 1],[1 2048 7 7]
Transpose_1702,FPGA,Add,[1 2048 7 7];[1 2048 7 7],[1 2048 7 7]
Transpose_1704,FPGA,Relu,[1 2048 7 7],[1 2048 7 7]
Transpose_1708,FPGA,ReduceMean,[1 2048 7 7];[2],[1 2048 1 1]
Transpose_1712,FPGA,Squeeze,[1 2048 1 1];[2],[1 2048]
Transpose_589,FPGA,Transpose,[1 3 224 224];[4],[1 224 224 3]
resnet_model/dense/BiasAdd,FPGA,Add,[1 1001];[1 1001],[1 1001]
resnet_model/dense/MatMul,FPGA,MatMul,[1 2048];[1001 2048],[1 1001]
softmax_tensor:0,FPGA,Result,[1 1001],[1 1001]
